rank,name,age,country,track,date,minutes,seconds
220,Dan Wu                           ,LSA,CHN,Changchun (CHN)          ,10-Nov-19,2,545
221,Sakura Mito                      ,LB1,JPN,Obihiro (JPN)            ,7-Dec-19,2,548
222,Aleksandra Rutkovskaya           ,LA1,RUS,Kolomna (RUS)            ,7-Mar-20,2,552
223,Mariyia Krotava                  ,LSA,BLR,Inzell (GER)             ,20-Oct-19,2,555
223,Maaike Verweij                   ,LA2,NED,Heerenveen (NED)         ,9-Dec-19,2,555
225,Emika Miyagawa                   ,L? ,JPN,Nagano (JPN)             ,3-Feb-20,2,56
226,Cassidy Peterson                 ,LN2,CAN,Calgary (CAN)            ,3-Jan-20,2,561
227,Mihaela Hogaş                    ,LN2,ROU,Inzell (GER)             ,13-Oct-19,2,562
228,Britt de Boer                    ,LN2,NED,Heerenveen (NED)         ,8-Dec-19,2,566
228,Dan Guo                          ,LSA,CHN,Inzell (GER)             ,14-Dec-19,2,566
230,Gemma Cooper                     ,L30,GBR,Inzell (GER)             ,29-Feb-20,2,567
231,Kasumi Maenaka                   ,L? ,JPN,Hachinohe-Nagane (JPN)   ,8-Feb-20,2,569
232,Ashley Hannah                    ,LN2,CAN,Calgary (CAN)            ,10-Nov-19,2,58
232,Pien Smit                        ,LB1,NED,Inzell (GER)             ,21-Dec-19,2,58
234,Darya Beskrovnykh                ,LSA,RUS,Kolomna (RUS)            ,2-Nov-19,2,583
235,Moeka Yazaki                     ,L? ,JPN,Nagano (JPN)             ,7-Feb-20,2,585
236,Esmé Stollenga                   ,LSA,NED,Heerenveen (NED)         ,28-Sep-19,2,591
237,Maud Lugters                     ,LA2,NED,Heerenveen (NED)         ,5-Oct-19,2,592
238,Valentina Espinosa               ,LN2,ARG,Salt Lake City (USA)     ,7-Mar-20,2,594
239,Junna Kubo                       ,L? ,JPN,Nagano (JPN)             ,7-Feb-20,2,595
240,Josephine Heimerl                ,LA2,GER,Inzell (GER)             ,5-Jan-20,2,596
241,Diede van Oorschot               ,LB1,NED,Heerenveen (NED)         ,29-Feb-20,2,598
242,Irina Slesareva                  ,LA1,RUS,Tomaszów-Mazowiecki (POL),21-Feb-20,2,603
243,Honoka Kumagai                   ,L? ,JPN,Obihiro (JPN)            ,8-Sep-19,2,605
243,Azusa Osano                      ,L? ,JPN,Obihiro (JPN)            ,17-Nov-19,2,605
245,Evi Gelling                      ,LB2,NED,Heerenveen (NED)         ,28-Feb-20,2,606
246,Amalie Haugland                  ,LB1,NOR,Heerenveen (NED)         ,29-Feb-20,2,608
247,Yui Fujimori                     ,LN1,JPN,Obihiro (JPN)            ,17-Nov-19,2,609
248,Polina Chesnokova                ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,611
249,Darya Filippova (1996)           ,LSA,RUS,Kolomna (RUS)            ,11-Oct-19,2,612
250,Jie Yang                         ,LN2,CHN,Hailar (CHN)             ,27-Oct-19,2,613
251,Tessa Boogaard                   ,LSA,NED,Leeuwarden (NED)         ,22-Dec-19,2,615
252,Minami Miyajima                  ,LN4,JPN,Obihiro (JPN)            ,2-Nov-19,2,618
253,Natalya Zhidkova (2000)          ,LN1,RUS,Kolomna (RUS)            ,28-Dec-19,2,623
254,Minami Ooiwa                     ,L? ,JPN,Hachinohe-Nagane (JPN)   ,8-Feb-20,2,624
255,Karuna Koyama                    ,LN1,JPN,Nagano (JPN)             ,27-Dec-19,2,625
256,Wenjing Ma                       ,LN2,CHN,Hailar (CHN)             ,27-Oct-19,2,629
257,Rui Onodera                      ,L? ,JPN,Nagano (JPN)             ,7-Feb-20,2,63
258,Huiyan Fang                      ,LN1,CHN,Changchun (CHN)          ,10-Nov-19,2,633
259,Emma Engbers                     ,LSA,NED,Heerenveen (NED)         ,2-Mar-20,2,634
260,Leming Li                        ,LA2,CHN,Inzell (GER)             ,14-Dec-19,2,635
261,Laura Hall                       ,LB2,CAN,Calgary (CAN)            ,10-Nov-19,2,637
262,Ekaterina Borisova               ,LC2,RUS,Kolomna (RUS)            ,24-Feb-20,2,639
263,Shuangshuang Wu                  ,LSA,CHN,Hailar (CHN)             ,27-Oct-19,2,64
263,Weiping Gan                      ,LA2,CHN,Hailar (CHN)             ,27-Oct-19,2,64
265,Yan Wang (2000)                  ,LN1,CHN,Hailar (CHN)             ,27-Oct-19,2,643
266,Anna Quinn                       ,LN1,USA,Calgary (CAN)            ,10-Nov-19,2,647
