rank,name,age,country,time,track,date
645,Mariya Gudoshnikova              ,LC2,RUS," 2.12,67",Kolomna (RUS)            ,2/24/2020
648,Xinyu Su                         ,LA2,CHN," 2.12,69",Changchun (CHN)          ,9/22/2019
649,Alicja Faderewska                ,LA1,POL," 2.12,72",Inzell (GER)             ,2/23/2020
650,Mettie de Vegt                   ,L30,NED," 2.12,73",Heerenveen (NED)         ,1/20/2020
651,Sofiya Klimenko                  ,LB2,RUS," 2.12,74",Chelyabinsk (RUS)        ,10/23/2019
652,Zoë Tiemens                      ,LA1,NED," 2.12,77",Heerenveen (NED)         ,11/17/2019
653,Yingqian Cui                     ,LB2,CHN," 2.12,78",Hailar (CHN)             ,10/27/2019
654,Kamila Khanbalaeva               ,LC1,RUS," 2.12,79",Kolomna (RUS)            ,2/24/2020
655,Satomi Nejo (20161610)           ,L? ,JPN," 2.12,81",Nagano (JPN)             ,2/3/2020
656,Victoria Goplen                  ,LA1,CAN," 2.12,83",Calgary (CAN)            ,1/3/2020
656,Polina Kapustina (2004)          ,LC2,RUS," 2.12,83",Kolomna (RUS)            ,2/24/2020
658,Zoe Lueders                      ,LB2,CAN," 2.12,84",Calgary (CAN)            ,1/3/2020
659,Darya Fruktova                   ,LC2,RUS," 2.12,88",Kolomna (RUS)            ,2/24/2020
660,Pien Hersman                     ,LB1,NED," 2.12,92",Enschede (NED)           ,2/1/2020
660,Yae Takahashi                    ,L? ,JPN," 2.12,92",Nagano (JPN)             ,2/3/2020
662,Sterre van de Rhee               ,LB1,NED," 2.12,94",Heerenveen (NED)         ,10/5/2019
663,Eva Riemersma-van Rheenen        ,L35,NED," 2.12,95",Heerenveen (NED)         ,2/8/2020
664,Sarah Warren                     ,LSA,USA," 2.12,96",Milwaukee (USA)          ,1/25/2020
665,Josephine Schlörb                ,LB1,GER," 2.12,98",Inzell (GER)             ,11/10/2019
665,Mirjam Rottier                   ,LSA,NED," 2.12,98",Breda (NED)              ,2/2/2020
667,Elena Plotnikova                 ,LB2,RUS," 2.13,00",Kolomna (RUS)            ,2/21/2020
668,Xinyue Liu                       ,LA2,CHN," 2.13,01",Changchun (CHN)          ,9/22/2019
669,Jia Ren                          ,LN3,CHN," 2.13,02",Hailar (CHN)             ,10/27/2019
669,Victoria Keltie Sætersdal        ,LN1,NOR," 2.13,02",Stavanger (NOR)          ,2/22/2020
671,Anne Ruyssenaars                 ,LN3,NED," 2.13,04",Inzell (GER)             ,11/30/2019
671,Ardak Nursejt                    ,LB2,KAZ," 2.13,04",Nur-Sultan (KAZ)         ,2/13/2020
673,Chang Lu (2002)                  ,LB2,CHN," 2.13,05",Harbin (CHN)             ,1/2/2020
674,Renée Baas                       ,LB2,NED," 2.13,07",Heerenveen (NED)         ,12/30/2019
675,Lyudmila Kuzmenko                ,LA1,RUS," 2.13,09",Moscow (RUS)             ,11/5/2019
676,Viktoriya Morozova               ,LC2,RUS," 2.13,10",Kolomna (RUS)            ,11/5/2019
677,Manami Ishikawa                  ,L? ,JPN," 2.13,11",Obihiro (JPN)            ,1/25/2020
678,Anouk van Leest                  ,LB1,NED," 2.13,13",Enschede (NED)           ,2/1/2020
678,Miyuru Kodaira                   ,L? ,JPN," 2.13,13",Nagano (JPN)             ,2/3/2020
680,Marieke Gerbrandy                ,LA1,NED," 2.13,14",Heerenveen (NED)         ,12/16/2019
681,Lieke Hoogendoorn                ,LC1,NED," 2.13,16",Heerenveen (NED)         ,12/11/2019
682,Valeriya Bosh                    ,LA1,RUS," 2.13,17",Chelyabinsk (RUS)        ,1/23/2020
683,Maike Kroes                      ,LN3,NED," 2.13,18",Heerenveen (NED)         ,2/29/2020
684,Runa Saito                       ,LA2,JPN," 2.13,19",Obihiro (JPN)            ,11/23/2019
685,Emma Kant                        ,LA2,NED," 2.13,20",Heerenveen (NED)         ,9/28/2019
685,Mariya Kuzneczova (2004)         ,LB1,KAZ," 2.13,20",Nur-Sultan (KAZ)         ,3/3/2020
687,Eriko Uwano                      ,L? ,JPN," 2.13,21",Hachinohe-Nagane (JPN)   ,2/8/2020
688,Marina Bogatyrchuk               ,LN1,RUS," 2.13,26",Kolomna (RUS)            ,10/23/2019
688,Wen Sun                          ,LC2,CHN," 2.13,26",Hailar (CHN)             ,10/27/2019
690,Sydney Terpening                 ,LA2,USA," 2.13,28",Milwaukee (USA)          ,1/25/2020
690,Daan Louwerse                    ,LB2,NED," 2.13,28",Heerenveen (NED)         ,2/24/2020
692,Nozomi Sasaki                    ,L? ,JPN," 2.13,29",Obihiro (JPN)            ,12/7/2019
692,Violetta Vizaver                 ,LA2,KAZ," 2.13,29",Nur-Sultan (KAZ)         ,2/13/2020
694,Katia Filippi                    ,LB2,ITA," 2.13,32",Inzell (GER)             ,10/27/2019
695,Kennedy Charles                  ,LA2,CAN," 2.13,34",Calgary (CAN)            ,10/20/2019
695,Chae-Won Kim                     ,LB1,KOR," 2.13,34",Seoul (KOR)              ,2/21/2020
697,Marina Nishihara                 ,L? ,JPN," 2.13,36",Obihiro (JPN)            ,2/22/2020
698,Jiayi Xue                        ,LB1,CHN," 2.13,38",Hailar (CHN)             ,10/27/2019
698,Irina Vlasova                    ,LB1,RUS," 2.13,38",Kolomna (RUS)            ,2/21/2020
700,Sofia Bieber                     ,LC1,CAN," 2.13,39",Calgary (CAN)            ,9/21/2019
701,McKenzie Browne                  ,LSA,USA," 2.13,40",Salt Lake City (USA)     ,3/7/2020
702,June de Blois                    ,LC2,NED," 2.13,43",Heerenveen (NED)         ,12/11/2019
703,Myrte Sandu                      ,LN3,NED," 2.13,46",Heerenveen (NED)         ,11/10/2019
704,Yun Huang                        ,LSA,TPE," 2.13,47",Salt Lake City (USA)     ,9/21/2019
705,Madelief de Jong                 ,LN1,NED," 2.13,49",Heerenveen (NED)         ,10/27/2019
705,Lièn van Dasselaar               ,LB1,NED," 2.13,49",Heerenveen (NED)         ,10/27/2019
705,Fran Vanhoutte                   ,LB2,BEL," 2.13,49",Leeuwarden (NED)         ,12/29/2019
708,Harune Karai                     ,L? ,JPN," 2.13,51",Nagano (JPN)             ,1/6/2020
709,Hyun-Seo Chung                   ,LB1,KOR," 2.13,53",Seoul (KOR)              ,2/21/2020
710,Linda Pulles                     ,LN3,NED," 2.13,55",Heerenveen (NED)         ,2/29/2020
711,Laura Lorenzato                  ,LN2,ITA," 2.13,57",Heerenveen (NED)         ,2/3/2020
712,Nanne Bouma                      ,LB1,NED," 2.13,58",Heerenveen (NED)         ,2/29/2020
713,Yuchen Du                        ,L? ,CHN," 2.13,59",Harbin (CHN)             ,1/4/2020
714,Rina Ushiyama                    ,L? ,JPN," 2.13,61",Obihiro (JPN)            ,1/25/2020
715,Antonia Oestreich                ,LC2,GER," 2.13,62",Inzell (GER)             ,12/8/2019
715,Lataesha Narain                  ,LB1,NED," 2.13,62",Heerenveen (NED)         ,12/21/2019
717,Melissa Schaefer                 ,LC1,GER," 2.13,64",Erfurt (GER)             ,2/1/2020
718,Emma Kole                        ,LB1,NED," 2.13,66",Heerenveen (NED)         ,11/17/2019
718,Isa Molenaar                     ,LB1,NED," 2.13,66",Inzell (GER)             ,12/29/2019
720,Sofie Bouw                       ,LC2,NED," 2.13,68",Leeuwarden (NED)         ,1/2/2020
720,Marleen Popken                   ,LN2,NED," 2.13,68",Groningen (NED)          ,2/29/2020
722,Thalia Staehle                   ,LB1,USA," 2.13,70",Salt Lake City (USA)     ,12/29/2019
723,Jia Griffiths                    ,LB1,USA," 2.13,73",Salt Lake City (USA)     ,3/7/2020
724,Miki Matsuda                     ,L? ,JPN," 2.13,75",Obihiro (JPN)            ,12/7/2019
725,Evgeniya Saunina                 ,LB2,RUS," 2.13,79",Kolomna (RUS)            ,2/21/2020
726,Semmie Bakker                    ,LB1,NED," 2.13,80",Inzell (GER)             ,12/29/2019
727,Lotte Groenen                    ,LC2,NED," 2.13,81",Heerenveen (NED)         ,2/16/2020
728,Esther Dion                      ,LA2,CAN," 2.13,82",Calgary (CAN)            ,1/3/2020
728,Soo-Jin Kim (2005)               ,LC2,KOR," 2.13,82",Seoul (KOR)              ,2/21/2020
730,Lidiya Motorina                  ,LB2,RUS," 2.13,83",Kolomna (RUS)            ,2/21/2020
731,Nora Kästner                     ,LC2,GER," 2.13,86",Inzell (GER)             ,2/29/2020
732,Chaonan Yuan                     ,LN1,CHN," 2.13,91",Calgary (CAN)            ,9/21/2019
732,Margarita Artemeva               ,LA1,KAZ," 2.13,91",Nur-Sultan (KAZ)         ,12/19/2019
734,Svetlana Smyshlyaeva             ,LA2,RUS," 2.13,94",Moscow (RUS)             ,11/5/2019
734,Katharina Thien                  ,LN1,AUT," 2.13,94",Inzell (GER)             ,11/10/2019
736,Brooke Braun                     ,LB2,CAN," 2.13,97",Calgary (CAN)            ,11/10/2019
737,Ekaterina Zlobina (2002)         ,LB2,RUS," 2.14,00",Kolomna (RUS)            ,2/21/2020
738,Larissa Flade                    ,LC2,GER," 2.14,02",Erfurt (GER)             ,2/1/2020
739,Albina Yaskova                   ,LC2,RUS," 2.14,04",Kolomna (RUS)            ,2/24/2020
740,Serena Pergher                   ,LB1,ITA," 2.14,05",Heerenveen (NED)         ,2/29/2020
741,Marlen Ehseluns                  ,LB2,GER," 2.14,07",Erfurt (GER)             ,1/31/2020
742,Milou de Lange                   ,LC1,NED," 2.14,08",Enschede (NED)           ,2/1/2020
743,Yue Fang                         ,LA2,CHN," 2.14,09",Hailar (CHN)             ,10/27/2019
744,Isabelle Hersbach                ,LA2,NED," 2.14,14",Heerenveen (NED)         ,10/20/2019
745,Iris Tiben                       ,LB2,NED," 2.14,15",Heerenveen (NED)         ,12/8/2019
745,Gracie Grift                     ,LA1,CAN," 2.14,15",Calgary (CAN)            ,1/3/2020
745,Manon Gremmen                    ,LN4,NED," 2.14,15",Nijmegen (NED)           ,3/8/2020
748,Inge de Heer                     ,LA2,NED," 2.14,16",Heerenveen (NED)         ,10/5/2019
748,Alena Pentina                    ,LB2,RUS," 2.14,16",Kolomna (RUS)            ,2/21/2020
748,Sofie Adeberg                    ,LC1,GER," 2.14,16",Inzell (GER)             ,2/29/2020
751,Kateřina Macháčková              ,LC2,CZE," 2.14,19",Inzell (GER)             ,10/27/2019
752,Adrianna Kluk                    ,LB1,POL," 2.14,20",Inzell (GER)             ,2/23/2020
753,Stina Letteboer                  ,LC1,GER," 2.14,21",Inzell (GER)             ,11/24/2019
753,Cynthia Jennings                 ,LSA,USA," 2.14,21",Salt Lake City (USA)     ,3/7/2020
755,Tuuli Vaher                      ,LN2,EST," 2.14,26",Inzell (GER)             ,10/27/2019
755,Ina Nakken                       ,LC2,NOR," 2.14,26",Heerenveen (NED)         ,2/29/2020
757,Nyncke Dijkstra                  ,LB2,NED," 2.14,30",Salt Lake City (USA)     ,3/7/2020
758,Nika van Dasselaar               ,LB2,NED," 2.14,32",Heerenveen (NED)         ,10/27/2019
758,Wieke Olde Hanter                ,LN1,NED," 2.14,32",Enschede (NED)           ,12/22/2019
760,Aleksandra Kukol                 ,LA1,RUS," 2.14,34",Moscow (RUS)             ,11/5/2019
760,Tjitske Eppinga                  ,LB2,NED," 2.14,34",Heerenveen (NED)         ,12/16/2019
762,Vladislava Pervushina            ,LB1,RUS," 2.14,35",Chelyabinsk (RUS)        ,12/11/2019
762,Nina Mayrhofer                   ,LB1,GER," 2.14,35",Erfurt (GER)             ,1/31/2020
764,Emma Hulshof                     ,LSA,NED," 2.14,38",Heerenveen (NED)         ,2/29/2020
765,Olga Dozorceva                   ,LC2,RUS," 2.14,40",Kolomna (RUS)            ,2/24/2020
766,Eline Stubert                    ,LSA,NED," 2.14,41",Heerenveen (NED)         ,2/29/2020
767,Ekaterina Plachinda              ,LN2,RUS," 2.14,42",Kolomna (RUS)            ,10/11/2019
768,Elena Chebotareva                ,LC2,RUS," 2.14,44",Kolomna (RUS)            ,11/5/2019
769,Claudia Henckel                  ,L30,NED," 2.14,48",Leeuwarden (NED)         ,12/21/2019
770,Esmée Brommer                    ,LB1,NED," 2.14,49",Heerenveen (NED)         ,10/20/2019
771,Olesya Shiryaeva                 ,LC2,RUS," 2.14,50",Kolomna (RUS)            ,2/24/2020
772,Yibing Liu                       ,LA2,CHN," 2.14,51",Hailar (CHN)             ,10/27/2019
773,Xingchi Liu                      ,L? ,CHN," 2.14,52",Harbin (CHN)             ,1/4/2020
774,Raziya Gadzhiumarova             ,LB1,RUS," 2.14,57",Kolomna (RUS)            ,2/21/2020
775,Bo Mengerink                     ,LC2,NED," 2.14,61",Heerenveen (NED)         ,12/23/2019
775,Maaike KleinJan-Koomen           ,LSA,NED," 2.14,61",Enschede (NED)           ,1/4/2020
777,Quinty van Klink                 ,LA2,NED," 2.14,62",Heerenveen (NED)         ,2/24/2020
778,Marije van der Spek              ,LB2,NED," 2.14,65",Heerenveen (NED)         ,11/23/2019
779,Marloes Westerhof                ,L35,NED," 2.14,66",Heerenveen (NED)         ,3/1/2020
780,Gerdien Meijer                   ,L55,NED," 2.14,68",Heerenveen (NED)         ,11/30/2019
781,Ami Yamaguchi                    ,L? ,JPN," 2.14,70",Obihiro (JPN)            ,11/2/2019
782,Jessica Conrad                   ,LN4,CAN," 2.14,72",Calgary (CAN)            ,11/10/2019
783,Darya Sharik                     ,LB1,RUS," 2.14,74",Kolomna (RUS)            ,2/21/2020
784,Zoë Salemi                       ,LA1,NED," 2.14,75",Heerenveen (NED)         ,12/15/2019
784,Lotte Marije Huitema             ,LB2,NED," 2.14,75",Enschede (NED)           ,2/1/2020
786,Yao Chen                         ,LB1,CHN," 2.14,76",Harbin (CHN)             ,1/2/2020
787,Viviana Rodriguez                ,LSA,CHI," 2.14,79",Heerenveen (NED)         ,10/5/2019
787,Mio Hanaoka                      ,L? ,JPN," 2.14,79",Nagano (JPN)             ,1/6/2020
789,Hanna Svenni                     ,LA1,NOR," 2.14,82",Hamar (NOR)              ,10/20/2019
790,Qingqing Feng                    ,LA1,CHN," 2.14,88",Hailar (CHN)             ,10/27/2019
791,Dongyue Li                       ,LN1,CHN," 2.14,89",Changchun (CHN)          ,11/1/2019
792,Elena Voronina                   ,LN3,RUS," 2.14,90",Chelyabinsk (RUS)        ,11/28/2019
793,Anouk Karel                      ,LN4,NED," 2.14,92",Hoorn (NED)              ,11/10/2019
794,Anastasiya Kuzneczova (2004)     ,LC2,RUS," 2.14,97",Kolomna (RUS)            ,2/24/2020
795,Anastasiya Bugakova              ,LA2,RUS," 2.14,98",Kolomna (RUS)            ,10/11/2019
796,Haruka Sasaki                    ,L? ,JPN," 2.15,02",Obihiro (JPN)            ,9/8/2019
796,Paula Kuipers                    ,LC1,NED," 2.15,02",Leeuwarden (NED)         ,1/2/2020
798,Misaki Tominari                  ,L? ,JPN," 2.15,03",Nagano (JPN)             ,2/7/2020
799,Akki Kivits                      ,LB1,NED," 2.15,04",Heerenveen (NED)         ,10/5/2019
799,Sakura Takizawa                  ,L? ,JPN," 2.15,04",Nagano (JPN)             ,2/3/2020
801,Ekaterina Krupenkova             ,LA1,BLR," 2.15,07",Minsk (BLR)              ,8/23/2019
802,Polina Titkova                   ,LA2,RUS," 2.15,08",Chelyabinsk (RUS)        ,12/7/2019
802,Kurumi Shima                     ,LA1,JPN," 2.15,08",Obihiro (JPN)            ,2/22/2020
804,Aoi Yoshizawa                    ,L? ,JPN," 2.15,09",Nagano (JPN)             ,2/3/2020
805,Abigél Mercs                     ,LB2,HUN," 2.15,10",Inzell (GER)             ,11/2/2019
805,Kotone Otani                     ,L? ,JPN," 2.15,10",Obihiro (JPN)            ,2/22/2020
807,Maartje Heine                    ,LN2,NED," 2.15,11",Heerenveen (NED)         ,12/21/2019
808,Kaska Rogulska                   ,L50,NED," 2.15,12",Heerenveen (NED)         ,11/23/2019
809,Ilse Zijsveld                    ,LA1,NED," 2.15,13",Heerenveen (NED)         ,12/7/2019
810,Darya Lobacheva                  ,LC1,RUS," 2.15,15",Kolomna (RUS)            ,2/4/2020
810,Alisa Mironova                   ,LC1,RUS," 2.15,15",Kolomna (RUS)            ,2/4/2020
810,Ashley Völker                    ,LC2,GER," 2.15,15",Inzell (GER)             ,2/29/2020
813,Marit Gomes Bráz                 ,LA1,NED," 2.15,17",Heerenveen (NED)         ,2/1/2020
814,Olin Verhoog                     ,LA2,NED," 2.15,20",Heerenveen (NED)         ,12/11/2019
814,Zuzanna Sączek                   ,LB2,POL," 2.15,20",Heerenveen (NED)         ,2/28/2020
816,Sosha Zuiderduin                 ,LA2,NED," 2.15,21",Heerenveen (NED)         ,10/5/2019
817,Su-Yeon Cho                      ,LB2,KOR," 2.15,23",Seoul (KOR)              ,12/19/2019
818,Maartje Redder                   ,LC2,NED," 2.15,25",Heerenveen (NED)         ,12/7/2019
818,Marieke de Vries                 ,LC2,NED," 2.15,25",Heerenveen (NED)         ,2/29/2020
820,Xinmiao Zhang (2000)             ,LA2,CHN," 2.15,26",Hailar (CHN)             ,10/27/2019
821,Xue Wang                         ,LA1,CHN," 2.15,30",Hailar (CHN)             ,10/27/2019
822,Josephine Mönnich                ,LA1,GER," 2.15,32",Inzell (GER)             ,11/2/2019
822,Masja Keesman                    ,LC2,NED," 2.15,32",Heerenveen (NED)         ,2/15/2020
824,Rui Aoki (20140178)              ,L? ,JPN," 2.15,34",Obihiro (JPN)            ,11/2/2019
824,Jin-Joo Hong                     ,LB2,KOR," 2.15,34",Seoul (KOR)              ,12/19/2019
826,Ruko Kotake                      ,LN2,JPN," 2.15,35",Obihiro (JPN)            ,9/8/2019
827,Xinyu Liu (2)                    ,LA2,CHN," 2.15,37",Hailar (CHN)             ,10/27/2019
827,Ekaterina Abrosimova             ,LA2,RUS," 2.15,37",Chelyabinsk (RUS)        ,1/23/2020
829,Ju-Lin de Visser                 ,LA2,NED," 2.15,41",Breda (NED)              ,1/18/2020
830,Sijia Liu                        ,LC2,CHN," 2.15,42",Hailar (CHN)             ,10/27/2019
831,Kana Nagata                      ,L? ,JPN," 2.15,44",Obihiro (JPN)            ,12/7/2019
831,Rixt Hoogland                    ,LSA,NED," 2.15,44",Enschede (NED)           ,2/15/2020
833,Hiyori Funazaki                  ,L? ,JPN," 2.15,46",Obihiro (JPN)            ,2/22/2020
834,Bibi Arts                        ,LC2,NED," 2.15,47",Heerenveen (NED)         ,12/23/2019
835,Lotte Elfferich                  ,LN3,NED," 2.15,48",Heerenveen (NED)         ,2/29/2020
836,Valentina Poturaeva              ,LA2,RUS," 2.15,49",Chelyabinsk (RUS)        ,1/23/2020
837,Deborah Veerman                  ,LSA,NED," 2.15,51",Heerenveen (NED)         ,2/29/2020
838,Katja Lutz                       ,LSA,SUI," 2.15,52",Inzell (GER)             ,10/27/2019
839,Alena Krivonogova (2003)         ,LB1,RUS," 2.15,53",Kolomna (RUS)            ,2/21/2020
840,Qi Liu (2001)                    ,LA1,CHN," 2.15,54",Hailar (CHN)             ,10/27/2019
841,Ann-Marie Lindqvist              ,LN3,SWE," 2.15,55",Hamar (NOR)              ,11/3/2019
842,Honoka Hoshino                   ,L? ,JPN," 2.15,56",Obihiro (JPN)            ,9/8/2019
843,Alena Fadeeva                    ,LC2,RUS," 2.15,59",Kolomna (RUS)            ,11/5/2019
843,Mariya Markina                   ,LB1,RUS," 2.15,59",Kolomna (RUS)            ,2/21/2020
845,Lotte Jongema                    ,LSA,BEL," 2.15,60",Heerenveen (NED)         ,2/16/2020
845,Olga Trokhina                    ,LB1,RUS," 2.15,60",Kolomna (RUS)            ,2/21/2020
847,Mila Burger                      ,LA2,NED," 2.15,63",Leeuwarden (NED)         ,12/22/2019
848,Ai Hyuuga                        ,L? ,JPN," 2.15,69",Obihiro (JPN)            ,1/25/2020
849,Ekaterina Brynza                 ,LA1,KAZ," 2.15,71",Nur-Sultan (KAZ)         ,2/13/2020
849,Tosca Mulder                     ,LB1,NED," 2.15,71",Heerenveen (NED)         ,3/1/2020
851,Yauheniya Tserashonak            ,LB2,BLR," 2.15,72",Minsk (BLR)              ,1/31/2020
852,Faina Popelyshko                 ,LB1,RUS," 2.15,75",Kolomna (RUS)            ,2/21/2020
853,Kristina Ershova                 ,LC1,RUS," 2.15,76",Kolomna (RUS)            ,12/14/2019
854,Seo-Jin Kim (2002)               ,LA1,KOR," 2.15,77",Seoul (KOR)              ,10/25/2019
855,Mayu Ikuno                       ,L? ,JPN," 2.15,78",Nagano (JPN)             ,12/18/2019
856,Maki Kamijo                      ,L? ,JPN," 2.15,80",Nagano (JPN)             ,2/7/2020
857,Ekaterina Archugova              ,LC2,RUS," 2.15,81",Kolomna (RUS)            ,2/24/2020
858,Siqi Li                          ,LA1,CHN," 2.15,82",Hailar (CHN)             ,10/27/2019
859,Lina Poddubnaia                  ,LC1,GER," 2.15,83",Erfurt (GER)             ,2/1/2020
860,Piper Yde                        ,LC2,USA," 2.15,86",Salt Lake City (USA)     ,12/29/2019
860,Mijke Anne Kanneworff            ,L35,NED," 2.15,86",Heerenveen (NED)         ,1/19/2020
862,Janice Heimberger                ,LB2,GER," 2.15,95",Inzell (GER)             ,11/2/2019
862,Thirza Koers                     ,LB2,NED," 2.15,95",Heerenveen (NED)         ,3/1/2020
864,Rosan van Koppen                 ,LA1,NED," 2.15,98",Erfurt (GER)             ,1/25/2020
865,Mariya Agapitova                 ,LB2,RUS," 2.15,99",Kolomna (RUS)            ,2/21/2020
866,Rixt Tol                         ,LB2,NED," 2.16,01",Heerenveen (NED)         ,11/17/2019
867,Yuuki Shimizu (20130005)         ,L? ,JPN," 2.16,03",Tomakomai (JPN)          ,11/30/2019
868,Sofiya Shepel                    ,LA2,RUS," 2.16,04",Moscow (RUS)             ,11/5/2019
868,Mariya Forostyanaya              ,LB2,RUS," 2.16,04",Kolomna (RUS)            ,3/7/2020
870,Aaralyn McGill                   ,LC2,CAN," 2.16,05",Calgary (CAN)            ,1/3/2020
871,Sofie Ulset                      ,LB1,NOR," 2.16,07",Heerenveen (NED)         ,2/29/2020
872,Ekaterina Konkina                ,LC1,RUS," 2.16,08",Kolomna (RUS)            ,2/24/2020
873,Olina Norheim                    ,LC2,NOR," 2.16,11",Heerenveen (NED)         ,2/29/2020
874,Mayke Vriesinga                  ,LC1,NED," 2.16,12",Heerenveen (NED)         ,12/16/2019
875,Molly Johnson                    ,LA2,CAN," 2.16,16",Calgary (CAN)            ,9/21/2019
876,Feifei Qin                       ,LB2,CHN," 2.16,17",Hailar (CHN)             ,10/27/2019
876,Ria Schilder                     ,LA1,NED," 2.16,17",Hoorn (NED)              ,1/12/2020
878,Dongyue Huang                    ,LB1,CHN," 2.16,19",Hailar (CHN)             ,10/27/2019
879,Maartje Geuzebroek               ,LA2,NED," 2.16,21",Calgary (CAN)            ,1/3/2020
880,Qi Shao                          ,LB1,CHN," 2.16,22",Changchun (CHN)          ,9/22/2019
880,Rena Takebayashi                 ,LC2,JPN," 2.16,22",Obihiro (JPN)            ,10/12/2019
880,Yuri Suzuki                      ,L? ,JPN," 2.16,22",Nagano (JPN)             ,2/3/2020
883,Linlin Wang                      ,LB2,CHN," 2.16,27",Hailar (CHN)             ,10/27/2019
884,Baoyi Wang                       ,LB2,CHN," 2.16,29",Hailar (CHN)             ,10/27/2019
884,Elizaveta Klishina               ,LC2,RUS," 2.16,29",Kolomna (RUS)            ,12/14/2019
886,Na-Yoon Kang                     ,LC2,KOR," 2.16,31",Seoul (KOR)              ,1/15/2020
886,Vladlena Rogatkina               ,LN3,RUS," 2.16,31",Chelyabinsk (RUS)        ,2/13/2020
888,Bianca van der Meer              ,LB2,NED," 2.16,35",Heerenveen (NED)         ,2/3/2020
889,Irina Dukhnovskaya               ,LB1,RUS," 2.16,36",Kolomna (RUS)            ,2/21/2020
890,Anna Molnar                      ,LA1,AUT," 2.16,38",Inzell (GER)             ,11/10/2019
890,Judith van Duin                  ,LC1,NED," 2.16,38",Heerenveen (NED)         ,2/16/2020
892,Ji-Yeon Kim (2004-03)            ,LB1,KOR," 2.16,39",Seoul (KOR)              ,12/12/2019
893,Dina Shevkunova                  ,LB2,KAZ," 2.16,40",Nur-Sultan (KAZ)         ,3/13/2020
894,Mariya Lezhneva                  ,LN3,RUS," 2.16,43",Chelyabinsk (RUS)        ,2/13/2020
894,Valeriya Kameneva                ,LB2,RUS," 2.16,43",Kolomna (RUS)            ,2/21/2020
896,Alena Lifatova                   ,LB1,KAZ," 2.16,45",Nur-Sultan (KAZ)         ,3/3/2020
897,Milena Shamoyan                  ,LC2,RUS," 2.16,46",Moscow (RUS)             ,11/5/2019
897,Jasmijn Hiddink                  ,LC1,NED," 2.16,46",Heerenveen (NED)         ,12/15/2019
897,Ingunn Kvernvold Myhre           ,LA2,NOR," 2.16,46",Stavanger (NOR)          ,2/1/2020
897,Ekaterina Kazakova (2002)        ,LB2,RUS," 2.16,46",Chelyabinsk (RUS)        ,3/11/2020
901,Lucy Mehnert                     ,LA1,GER," 2.16,47",Inzell (GER)             ,11/10/2019
902,Zefina de Bruin                  ,LA1,NED," 2.16,49",Heerenveen (NED)         ,2/16/2020
903,Galina Elkina                    ,LC2,RUS," 2.16,50",Kolomna (RUS)            ,12/14/2019
903,Anna Yurgens                     ,LB2,RUS," 2.16,50",Kolomna (RUS)            ,2/21/2020
905,Jet Fransen                      ,LC2,NED," 2.16,51",Enschede (NED)           ,2/1/2020
905,Marcha Lich                      ,LB2,NED," 2.16,51",Heerenveen (NED)         ,3/1/2020
907,Carlijn Kaaij                    ,LC1,NED," 2.16,55",Heerenveen (NED)         ,3/2/2020
908,Polina Andreeva (2001)           ,LA1,RUS," 2.16,56",Moscow (RUS)             ,11/5/2019
909,Bingbing Li                      ,LN1,CHN," 2.16,57",Hailar (CHN)             ,10/27/2019
910,Jung-Min Yoon                    ,LN2,KOR," 2.16,60",Seoul (KOR)              ,12/12/2019
911,Angelina Polushkina              ,LB1,RUS," 2.16,61",Chelyabinsk (RUS)        ,11/29/2019
912,Seung-Hyun Lee (2003)            ,LB1,KOR," 2.16,62",Seoul (KOR)              ,11/8/2019
913,Sterre van Schaik                ,LC2,NED," 2.16,63",Heerenveen (NED)         ,10/26/2019
914,Donna Noor Gemser                ,LC1,NED," 2.16,67",Leeuwarden (NED)         ,12/22/2019
914,Konoka Fukazawa                  ,L? ,JPN," 2.16,67",Obihiro (JPN)            ,2/22/2020
916,Kristina Soloveva                ,LB1,RUS," 2.16,68",Kolomna (RUS)            ,2/21/2020
917,Maite van Komen                  ,LC2,NED," 2.16,70",Heerenveen (NED)         ,11/16/2019
918,Mo Su                            ,L? ,CHN," 2.16,73",Changchun (CHN)          ,9/22/2019
918,Lara van Son                     ,LB1,NED," 2.16,73",Heerenveen (NED)         ,12/8/2019
920,Esther Bouman                    ,L30,NED," 2.16,74",Heerenveen (NED)         ,12/14/2019
921,Jiajing Lyu                      ,LB1,CHN," 2.16,75",Changchun (CHN)          ,9/22/2019
921,Mimi Uchida                      ,L? ,JPN," 2.16,75",Obihiro (JPN)            ,2/22/2020
923,Renske Winters                   ,L40,NED," 2.16,76",Heerenveen (NED)         ,11/23/2019
924,Anastasiya Drozdova              ,LB2,RUS," 2.16,82",Kolomna (RUS)            ,2/21/2020
925,Kseniya Nikitina                 ,LB1,RUS," 2.16,83",Chelyabinsk (RUS)        ,11/29/2019
925,Ekaterina Chashhina              ,LB2,RUS," 2.16,83",Chelyabinsk (RUS)        ,1/28/2020
927,Yuka Imai                        ,L? ,JPN," 2.16,84",Karuizawa (JPN)          ,1/18/2020
928,Yuliya Chivilina                 ,LB2,RUS," 2.16,86",Kolomna (RUS)            ,2/21/2020
929,Yuxuan Guan                      ,LB2,CHN," 2.16,87",Hailar (CHN)             ,10/27/2019
929,Rearu Yamada                     ,L? ,JPN," 2.16,87",Obihiro (JPN)            ,12/7/2019
