2019-2020 500m Ladies

  152	Cho-Eun Lim                          	LA2	KOR	   40,12	Calgary (CAN)            	20 Sep 2019
  153	Kaiying Wang                         	LSA	CHN	   40,13	Hailar (CHN)             	25 Oct 2019
  154	Lea-Sophie Scholz                    	LN2	GER	   40,14	Inzell (GER)             	7 Dec 2019
  155	Yining Zhao                          	LN2	CHN	   40,16	Hailar (CHN)             	25 Oct 2019
  155	Merel Conijn                         	LA1	NED	   40,16	Heerenveen (NED)         	25 Jan 2020
  157	Vladlena Rogatkina                   	LN3	RUS	   40,17	Kolomna (RUS)            	31 Oct 2019
  157	Mei Matsumoto                        	LN3	JPN	   40,17	Nagano (JPN)             	9 Feb 2020
  157	Natalia Voronina                     	LSA	RUS	   40,17	Hamar (NOR)              	29 Feb 2020
  160	Gabrielle Jelonek                    	LA2	CAN	   40,18	Calgary (CAN)            	18 Oct 2019
  161	Chloé Hoogendoorn                    	LB1	NED	   40,19	Inzell (GER)             	21 Dec 2019
  161	Anouk Karel                          	LN4	NED	   40,19	Heerenveen (NED)         	26 Dec 2019
  161	Akari Hori-Shimizu                   	LN2	JPN	   40,19	Nagano (JPN)             	28 Dec 2019
  161	Anna Quinn                           	LN1	USA	   40,19	Salt Lake City (USA)     	6 Mar 2020
  165	Noemi Bonazza                        	LN3	ITA	   40,21	Inzell (GER)             	28 Dec 2019
  166	Hee Won Son                          	LA2	CAN	   40,22	Calgary (CAN)            	3 Jan 2020
  166	Gabrielle Sanson                     	LN1	CAN	   40,22	Calgary (CAN)            	5 Jan 2020
  168	Rikke Jeppsson                       	L30	NOR	   40,23	Calgary (CAN)            	1 Mar 2020
  169	Dongxue Xi                           	LN2	CHN	   40,24	Salt Lake City (USA)     	31 Aug 2019
  169	Valerie Maltais                      	LSA	CAN	   40,24	Hamar (NOR)              	29 Feb 2020
  171	Pien Smit                            	LB1	NED	   40,27	Inzell (GER)             	21 Dec 2019
  172	Myrthe de Boer                       	LA1	NED	   40,28	Alkmaar (NED)            	15 Dec 2019
  172	Esther Kiel                          	LN4	NED	   40,28	Heerenveen (NED)         	25 Jan 2020
  172	Seia Kawamura                        	LN3	JPN	   40,28	Nagano (JPN)             	9 Feb 2020
  172	Lilit Garibyan                       	LB1	RUS	   40,28	Kolomna (RUS)            	21 Feb 2020
  176	Karolina Gąsecka                     	LN1	POL	   40,29	Tomaszów-Mazowiecki (POL)	9 Nov 2019
  176	Saki Furukawa                        	LA1	JPN	   40,29	Nagano (JPN)             	9 Feb 2020
  178	Henny de Vries                       	LA1	NED	   40,30	Heerenveen (NED)         	10 Feb 2020
  178	Martina Sáblíková                    	L30	CZE	   40,30	Hamar (NOR)              	29 Feb 2020
  180	Kali Christ                          	LSA	CAN	   40,31	Calgary (CAN)            	28 Dec 2019
  180	Aveline Hijlkema                     	LSA	NED	   40,31	Heerenveen (NED)         	25 Jan 2020
  180	Linda Rossi                          	LN3	ITA	   40,31	Minsk (BLR)              	16 Feb 2020
  183	Yukino Yoshida                       	LB2	JPN	   40,32	Enschede (NED)           	24 Nov 2019
  183	Pia-Leonie Kirsakal                  	LA2	GER	   40,32	Inzell (GER)             	29 Feb 2020
  183	Anastasiya Shaczkikh                 	LB2	RUS	   40,32	Chelyabinsk (RUS)        	4 Mar 2020
  186	Sacha van der Weide                  	LA1	NED	   40,33	Alkmaar (NED)            	15 Dec 2019
  187	Sishan Li                            	LN4	CHN	   40,34	Hailar (CHN)             	25 Oct 2019
  188	McKenzie Browne                      	LSA	USA	   40,35	Salt Lake City (USA)     	6 Mar 2020
  189	Pien Hersman                         	LB1	NED	   40,36	Heerenveen (NED)         	15 Feb 2020
  190	Haoze Yin (2003)                     	LB1	CHN	   40,38	Hailar (CHN)             	25 Oct 2019
  190	Meghan Wystrichowski                 	LA1	GER	   40,38	Inzell (GER)             	7 Dec 2019
  190	Paulien Verhaar                      	LN1	NED	   40,38	Heerenveen (NED)         	25 Jan 2020
  190	Reina Anema                          	LSA	NED	   40,38	Heerenveen (NED)         	25 Jan 2020
  194	Akari Mochida                        	LN3	JPN	   40,40	Obihiro (JPN)            	15 Nov 2019
  194	Tomomi Kuwahara                      	L? 	JPN	   40,40	Nagano (JPN)             	28 Dec 2019
  196	Kyung-Ju Kim                         	LB1	KOR	   40,41	Calgary (CAN)            	20 Sep 2019
  197	Rose Laliberté-Roy                   	LN2	CAN	   40,42	Calgary (CAN)            	3 Jan 2020
  197	Serena Pergher                       	LB1	ITA	   40,42	Heerenveen (NED)         	28 Feb 2020
